name,calories,calories,protein,fat,carbohydrate,fiber,sodium,portion_size,serving_unit,food_category,allergens,glycemic_index
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38600.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,37700.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,40100.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38400.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,39500.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38100.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38300.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,40300.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,39100.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,39400.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38000.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38400.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38200.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,40700.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,37200.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38200.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,39000.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,38600.0,,,Uncategorized,None,0
Salt; iodized,0.0,0.0,0.0,0.0,0.0,0.0,39600.0,,,Uncategorized,None,0
"Salt, table, iodized",0.0,0.0,0.0,0.0,0.0,0.0,38700.0,6.1,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,319.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211Z9",0.0,0.0,0.0,0.43,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,327.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211ZM",0.0,0.0,0.0,0.38,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,315.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211Z2",0.0,0.0,0.0,0.43,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,328.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211YP",0.0,0.0,0.0,0.3,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,301.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211YW",0.0,0.0,0.0,0.43,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,319.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211ZF",0.0,0.0,0.0,0.38,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,234.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211ZZ",0.0,0.0,0.0,0.35,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,309.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY12120I",0.0,0.0,0.0,0.38,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,183.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY12120C",0.0,0.0,0.0,0.47,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,237.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY12120P",0.0,0.0,0.0,0.41,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,263.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY121205",0.0,0.0,0.0,0.39,0.0,0.0,0.0,,,Uncategorized,None,0
Beans snap canned drained,0.0,0.0,0.0,0.0,0.0,0.0,243.0,,,Uncategorized,None,0
"Beans, snap, canned, drained - NFY1211ZS",0.0,0.0,0.0,0.37,0.0,0.0,0.0,,,Uncategorized,None,0
"Beans, snap, green, canned, regular pack, drained solids",21.0,86.0,1.04,0.39,4.11,0.0,282.0,129.0,,Uncategorized,None,0
"Broccoli, Region 1, n/a, Yes, Proximates - NFY01047M",0.0,0.0,0.0,0.38,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Region 1, n/a, Yes, Minerals - NFY01047O",0.0,0.0,0.0,0.0,0.0,0.0,28.0,,,Uncategorized,None,0
"Broccoli, Region 1, n/a, Yes, Fiber - NFY01047T",0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,Uncategorized,None,0
"Broccoli, Region 1, n/a, Yes, Proximates - NFY01048F",0.0,0.0,0.0,0.41,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Pass 2, Region 1, n/a, Yes, Proximates - NFY010CUE",0.0,0.0,0.0,0.37,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104BP",0.0,0.0,0.0,0.36,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Region 3, n/a, Yes, Proximates - NFY0104AU",0.0,0.0,0.0,0.22,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Region 3, n/a, Yes, Minerals - NFY0104AW",0.0,0.0,0.0,0.0,0.0,0.0,37.0,,,Uncategorized,None,0
"Broccoli, Region 3, n/a, Yes, Fiber - NFY0104B1",0.0,0.0,0.0,0.0,0.0,2.5,0.0,,,Uncategorized,None,0
"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104BX",0.0,0.0,0.0,0.3,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Region 4, n/a, Yes, Minerals - NFY0104BZ",0.0,0.0,0.0,0.0,0.0,0.0,38.0,,,Uncategorized,None,0
"Broccoli, Region 4, n/a, Yes, Fiber - NFY0104C5",0.0,0.0,0.0,0.0,0.0,2.7,0.0,,,Uncategorized,None,0
"Broccoli, Region 4, n/a, Yes, Proximates - NFY0104CS",0.0,0.0,0.0,0.42,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104CY",0.0,0.0,0.0,0.52,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 4, n/a, Yes, Proximates - NFY0104DY",0.0,0.0,0.0,0.47,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 4, n/a, Yes, Minerals - NFY0104D0",0.0,0.0,0.0,0.0,0.0,0.0,31.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 4, n/a, Yes, Fiber - NFY0104D6",0.0,0.0,0.0,0.0,0.0,3.2,0.0,,,Uncategorized,None,0
"Broccoli, Region 2, n/a, Yes, Proximates - NFY01048K",0.0,0.0,0.0,0.34,0.0,0.0,0.0,,,Uncategorized,None,0
